"cid"	"pid1"	"pid2"	"relation"	"location"	"locid"	"department"	"startdate"	"stopdate"	"addedby"	"dateadded"
"51"	"24"	"53"	"2"	"Massachusetts Institute of Technology"	"172"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:02:19"
"52"	"54"	"24"	"2"	"Baylor College of Medicine"	"20"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:03:39"
"53"	"55"	"54"	"1"	"Cognitive Neuroscience Laboratory, German Primate Center, Goettingen, Germany"	"3817"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:07:28"
"54"	"55"	"56"	"2"	"York University, Canada"	"5361"	\N	"2000-00-00"	"2004-00-00"	"hayden"	"2005-01-15 20:08:38"
"55"	"57"	"25"	"2"	"National Institute of Mental Health"	"214"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:10:27"
"56"	"58"	"25"	"2"	"National Institute of Mental Health"	"214"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:11:25"
"57"	"58"	"59"	"1"	"University of California, San Diego"	"317"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:12:48"
"58"	"60"	"3"	"1"	"University of California, Berkeley"	"312"	""	"2000-00-00"	"2007-00-00"	"hayden"	"2005-01-15 20:14:11"
"59"	"45"	"61"	"2"	"National Institutes of Health"	"212"	\N	"0000-00-00"	"1975-00-00"	"hayden"	"2005-01-15 20:15:54"
"60"	"63"	"62"	"2"	"Johns Hopkins University"	"117"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:18:37"
"61"	"10"	"140"	"1"	"Johns Hopkins University"	"117"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:19:25"
"62"	"64"	"65"	"2"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:22:09"
"63"	"66"	"38"	"2"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:22:54"
"64"	"22"	"67"	"1"	"Vanderbilt University"	"487"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:25:28"
"65"	"68"	"25"	"2"	"National Institutes of Health"	"212"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:26:22"
"66"	"69"	"25"	"2"	"National Institutes of Health"	"212"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:27:40"
"67"	"71"	"35"	"1"	"University of Cambridge"	"370"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:29:56"
"68"	"70"	"71"	"1"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:30:22"
"69"	"72"	"51"	"2"	"New York University"	"221"	\N	"0000-00-00"	"2000-00-00"	"hayden"	"2005-01-15 20:31:49"
"70"	"73"	"70"	"2"	"University of Oxford"	"228"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:34:10"
"71"	"74"	"18"	"2"	"Salk Institute for Biological Studies"	"258"	\N	"2000-00-00"	"2006-00-00"	"david"	"2005-01-15 20:34:15"
"72"	"74"	"40"	"1"	"Stanford University"	"277"	\N	"1993-00-00"	"1999-00-00"	"david"	"2005-01-15 20:35:01"
"73"	"75"	"23"	"1"	"Princeton University"	"238"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:35:18"
"74"	"75"	"53"	"2"	"Massachusetts Institute of Technology"	"172"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:35:37"
"75"	"21"	"65"	"2"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:36:37"
"76"	"32"	"77"	"2"	"Cold Spring Harbor Laboratory"	"50"	\N	"2005-00-00"	"0000-00-00"	"david"	"2005-01-15 20:38:57"
"77"	"77"	"76"	"1"	"University of California, San Diego"	"317"	\N	"1991-00-00"	"1995-00-00"	"david"	"2005-01-15 20:39:17"
"78"	"78"	"62"	"2"	"Johns Hopkins University"	"117"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:43:08"
"79"	"79"	"63"	"2"	"National Autonomous University"	"190"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:46:13"
"81"	"81"	"40"	"2"	"Stanford University"	"277"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 20:50:16"
"82"	"82"	"14"	"2"	"Massachusetts Institute of Technology"	"172"	\N	"0000-00-00"	"2004-00-00"	"hayden"	"2005-01-15 20:50:30"
"83"	"19"	"62"	"2"	"Johns Hopkins University"	"117"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:52:57"
"84"	"81"	"83"	"1"	"University of Rochester"	"432"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 20:54:04"
